experiment_name,condition,round,num_seeds,cooperation_rate_mean,cooperation_rate_ci95,defection_rate_mean,defection_rate_ci95,avg_reputation_mean,avg_reputation_ci95,reputation_variance_mean,reputation_variance_ci95,avg_temperature_mean,avg_temperature_ci95,avg_payoff_mean,avg_payoff_ci95,social_welfare_mean,social_welfare_ci95,action_entropy_mean,action_entropy_ci95
test_minimal,reputation_piecewise,17,5,0.72,0.09602,0.28,0.09602,0.609016,0.029444,0.028219,0.005088,0.4864,0.030582,2.68,0.1568,26.8,1.568,0.566138,0.120449
test_minimal,reputation_piecewise,18,5,0.88,0.09602,0.12,0.09602,0.63445,0.046939,0.02232,0.005981,0.4698,0.036832,2.88,0.09602,28.8,0.9602,0.317223,0.189544
test_minimal,reputation_piecewise,19,5,0.78,0.1568,0.22,0.1568,0.631563,0.039441,0.022628,0.007453,0.4998,0.078269,2.74,0.228573,27.4,2.285733,0.455852,0.159014
test_minimal,reputation_piecewise,20,5,0.74,0.099941,0.26,0.099941,0.619152,0.008817,0.024414,0.008566,0.4804,0.041214,2.74,0.099941,27.4,0.999408,0.544045,0.120353
test_minimal,reputation_piecewise,21,5,0.7,0.163985,0.3,0.163985,0.599492,0.037078,0.024428,0.003101,0.4602,0.016716,2.62,0.258542,26.2,2.585418,0.542436,0.135937
test_minimal,reputation_piecewise,22,5,0.88,0.14403,0.12,0.14403,0.627638,0.037402,0.023282,0.00295,0.4444,0.046953,2.88,0.14403,28.8,1.4403,0.264636,0.245643
test_minimal,reputation_piecewise,23,5,0.78,0.073336,0.22,0.073336,0.624826,0.032849,0.021079,0.009636,0.4738,0.052135,2.7,0.163985,27.0,1.639854,0.509523,0.102526
test_minimal,reputation_piecewise,24,5,0.74,0.04801,0.26,0.04801,0.613766,0.033182,0.022195,0.008252,0.4804,0.047876,2.66,0.099941,26.6,0.999408,0.56668,0.053033
test_minimal,reputation_piecewise,25,5,0.9,0.087654,0.1,0.087654,0.646211,0.043949,0.024325,0.009524,0.4488,0.038634,2.9,0.087654,29.0,0.876539,0.265178,0.221267
test_minimal,reputation_piecewise,26,5,0.86,0.0784,0.14,0.0784,0.661942,0.046097,0.024448,0.010183,0.4838,0.060062,2.86,0.0784,28.6,0.784,0.382239,0.112026
test_minimal,reputation_piecewise,27,5,0.74,0.1176,0.26,0.1176,0.647067,0.047114,0.031946,0.006925,0.5294,0.047683,2.66,0.19204,26.6,1.9204,0.538951,0.075556
test_minimal,reputation_piecewise,28,5,0.76,0.0784,0.24,0.0784,0.637008,0.058074,0.02871,0.003035,0.5224,0.041032,2.76,0.0784,27.6,0.784,0.531616,0.109542
test_minimal,reputation_piecewise,29,5,0.9,0.107354,0.1,0.107354,0.663346,0.05962,0.024048,0.004258,0.4834,0.049761,2.86,0.181763,28.6,1.817629,0.252206,0.226239
test_minimal,reputation_piecewise,30,5,0.74,0.132934,0.26,0.132934,0.645345,0.064733,0.023403,0.005075,0.477,0.069476,2.7,0.205567,27.0,2.055665,0.52598,0.121471
